"source_id","title","publisher","source_class","url","accessed_date","supports","limitations"
"TES-001","Model 3 Electrical Reference index","Tesla","official_vehicle_documentation","https://service.tesla.com/docs/Model3/ElectricalReference/","2026-08-30","Plant and production-date ranges for Model 3 electrical-reference programs","Live documentation can be revised; archive source hashes with each supported manifest"
"TES-002","SOP8 special cables LHD schematic","Tesla","official_vehicle_documentation","https://service.tesla.com/docs/Model3/ElectricalReference/prog-233/interactive/pdf/rf_special_cables_lhd_print.pdf","2026-08-30","Program 233 X860-X861 display data/power and X176-X189 AUX I2C touch topology","Net names do not specify the main-link electrical standard or complete power envelope"
"TES-003","SOP9 special cables LHD schematic","Tesla","official_vehicle_documentation","https://service.tesla.com/docs/Model3/ElectricalReference/prog-333/interactive/pdf/rf_special_cables_lhd_print.pdf","2026-08-30","Program 333 dual-path display topology and pin mapping","LHD drawing; exact market and physical target still require verification"
"TES-004","SOP8 connector X176","Tesla","official_vehicle_documentation","https://service.tesla.com/docs/Model3/ElectricalReference/prog-233/connector/x176/","2026-08-30","MCU-side Hirose part and eight sideband cavities","Physical orientation and production part must be verified"
"TES-005","SOP8 connector X189","Tesla","official_vehicle_documentation","https://service.tesla.com/docs/Model3/ElectricalReference/prog-233/connector/x189/","2026-08-30","Display-side Hirose part terminals and eight sideband cavities","A plausible board mate is not verified by this page"
"TES-006","SOP8 connector X860","Tesla","official_vehicle_documentation","https://service.tesla.com/docs/Model3/ElectricalReference/prog-233/connector/x860/","2026-08-30","LHD MCU-side harness connector part and display-data/power cavities","Does not identify transport or a verified counter-mating interposer/device part"
"TES-007","SOP8 connector X861","Tesla","official_vehicle_documentation","https://service.tesla.com/docs/Model3/ElectricalReference/prog-233/connector/x861/","2026-08-30","Display-end harness connector part and display-data/power cavities","Does not identify transport or a verified counter-mating interposer/device part"
"TES-008","Model 3 VIN decoding guide","Tesla","official_vehicle_documentation","https://service.tesla.com/docs/Model3/ServiceManual/2024/en-us/GUID-B7B9507C-C984-41F2-89EE-D23CA4E682ED.html","2026-08-30","WMI model-year and plant-code interpretation","Full VIN is private and must not be committed"
"TES-009","2024+ Model 3 center display service procedure","Tesla","official_vehicle_documentation","https://service.tesla.com/docs/Model3/ServiceManual/2024/en-us/GUID-429DDA16-EED3-44D0-8E30-2314DE5A9817.html","2026-08-30","Physical display service context and two harness connections","Service work carries safety and warranty risks; not an electrical protocol specification"
"TES-010","2024+ Model 3 Electrical Precautions","Tesla","official_vehicle_documentation","https://service.tesla.com/docs/Model3/ServiceManual/2024/en-us/GUID-EEC21776-1522-407E-8314-BF40E3E3E17E.html","2026-08-30","Highland service context uses a 16 V-class low-voltage system","Does not alone define accessory transients or the separately named display rail envelope"
"TES-011","Third-party accessory low-voltage circuit bulletin R2","Tesla","official_vehicle_documentation","https://service.tesla.com/docs/ServiceBulletins/External/CD/CD-23-17-001_LV_Power_Circuit_for_Third-Party_Accessories_2024_M3_2025_MY_R2.pdf","2026-08-30","Recommended temporary accessory source and nominal voltage up to 16 V","Permanent integration and project load still require independent engineering and exact revision review"
"TES-012","SOP8 connector X181","Tesla","official_vehicle_documentation","https://service.tesla.com/docs/Model3/ElectricalReference/prog-233/connector/x181/","2026-08-30","Program 233 publishes an X181 connector reference and Tesla part number","Does not by itself establish market availability bus bitrate or safe signal definitions"
"TES-013","DS90UB948-Q1 datasheet","Texas Instruments","official_component_documentation","https://www.ti.com/lit/ds/symlink/ds90ub948-q1.pdf","2026-08-30","FPD-Link III behavior for the receiver identified in an older Model 3 display teardown","Not proof of the 2025 Highland transport"
"TES-014","2017-2019 Model 3 display teardown","TechInsights via Electronics360","independent_teardown","https://electronics360.globalspec.com/article/14039/teardown-tesla-model-3-center-touchscreen-display-2017-19-model","2026-08-30","Older display resolution and DS90UB948-Q1/touch-controller identification","Older generation; cannot be ported to Highland without revalidation"
"LEGAL-001","37 CFR 201.40 exemptions to prohibition on circumvention","US Copyright Office","official_legal_source","https://www.copyright.gov/title37/201/37cfr201-40.html","2026-08-30","Current text of vehicle diagnosis repair lawful-modification and operational-data exemptions","Conditional exemption with no safe harbor from other law; not legal advice"
"LEGAL-002","17 USC 1201(f) reverse engineering","US House Office of the Law Revision Counsel via Cornell LII","official_statutory_text","https://www.law.cornell.edu/uscode/text/17/1201","2026-08-30","Statutory interoperability provision and conditions","Application is fact-specific; not legal advice"
"SAFE-001","NHTSA visual-manual driver-distraction guidelines","NHTSA","official_safety_guidance","https://www.nhtsa.gov/document/visual-manual-nhtsa-driver-distraction-guidelines-vehicle-electronic-devices","2026-08-30","Primary US guidance for in-vehicle visual/manual interfaces","Guidance does not certify this project or replace applicable law"
"SAFE-002","Rearview-display loss service bulletin","Tesla","official_vehicle_safety_documentation","https://service.tesla.com/docs/ServiceBulletins/External/SB/SB-25-00-001_Update_Vehicle_Software_Or_Replace_Car_Computer_To_Correct_Loss_Of_Rearview_Display_R2.pdf","2026-08-30","Documents safety consequence and FMVSS 111 relevance of losing rearview image","Different fault origin; used only to establish consequence severity"
"TES-015","SOP9 connector X181","Tesla","official_vehicle_documentation","https://service.tesla.com/docs/Model3/ElectricalReference/prog-333/connector/x181/","2026-08-30","Program 333 publishes a changed X181 Tesla part number with similar named roles","Connector revision reinforces separate SOP profiles; bitrate and exact target availability remain unverified"
"TES-016","SOP8 special cables RHD schematic","Tesla","official_vehicle_documentation","https://service.tesla.com/docs/Model3/ElectricalReference/prog-233/interactive/pdf/rf_special_cables_rhd_print.pdf","2026-08-30","Program 233 RHD uses MCU-side X860A/X176A with display-side X861/X189","Exact market and physical target still require verification"
"TES-017","SOP9 special cables RHD schematic","Tesla","official_vehicle_documentation","https://service.tesla.com/docs/Model3/ElectricalReference/prog-333/interactive/pdf/rf_special_cables_rhd_print.pdf","2026-08-30","Program 333 RHD dual-path mapping and designators","RHD evidence must remain separate from the current LHD candidate interfaces"
