Risk ID,Hazard ID,Title,Cause,Consequence,Severity,Likelihood,Detectability,Initial Risk,Primary Controls,Verification,Residual Risk,Owner,Status
R-012,H-010,Wrong Tesla revision profile operates,"Marketing-name match, connector similarity, editable profile, or incomplete identification",Electrical damage or incorrect safety-state decode,S4,L3,D5,Critical,"Authenticated deny-by-default profile; hardware/build identity; explicit maturity/exclusions","FI-028; REV-001; REV-002",UNKNOWN,Integration lead,OPEN
R-013,H-011,Tesla OTA changes signal semantics,"Arbitration ID, bit layout, counters, timing, or startup behavior changes",False Park permission or unstable display behavior,S4,L3,D5,Critical,"Pinned provenance; freshness/conflict checks; post-OTA suspension and regression","FI-029; REV-003",UNKNOWN,Adapter lead,OPEN
R-014,H-012,Interrupted update bricks add-on or supervisor,"Power loss, corrupt media, incompatible versions, bad signature handling, or rollback failure",Native recovery delayed or local route uncontrolled,S4,L3,D3,Critical,"Native lock during update; signatures; compatibility rules; A/B application; independent supervisor recovery","FI-025; FI-026; FI-027; UPD-001",UNKNOWN,Release lead,OPEN
R-015,H-013,Remote compromise controls application computer,"Vulnerable Wi-Fi, Bluetooth, USB, browser, media, projection, or exposed service",Arbitrary local content privacy loss or attempted safety-boundary bypass,S4,L3,D4,Critical,"Network isolation; least privilege; minimal services; signed updates; hardware route boundary","FI-034; SEC-001; SEC-002",UNKNOWN,Security lead,OPEN
R-016,H-014,Local application distracts driver,"Video, notification, animation, or interaction is available outside intended Park-only use",Driver distraction and collision risk,S4,L3,D3,Critical,"No moving mode; positive Park gate; uncertainty forces native; narrow UI policy","FI-018; SAFE-004",UNKNOWN,Product lead,OPEN
R-017,H-015,Diagnostic data exposes personal information,"Raw traces/logs include VIN, location, accounts, contacts, or identifiers",Privacy or security harm,S2,L3,D4,MEDIUM,"Local default; minimization; consent; automated redaction; synthetic public vectors; retention limits","PRIV-001; PRIV-002",UNKNOWN,Privacy lead,OPEN
R-018,H-016,Installation damages vehicle or injures installer,"Wrong pinout, live work, connector damage, cable routing, inadequate fuse, or unknown circuit",Equipment damage electrical hazard or impaired vehicle function,S4,L3,D3,Critical,"Exact profile; depower procedure; keyed reversible harness; inspection and stop criteria","INST-001; INST-002",UNKNOWN,Hardware lead,OPEN
R-019,H-001,Physical bypass is ineffective,"Software-controlled implementation, inaccessible control, damaged path, or undocumented operation",User cannot restore native display,S4,L2,D4,Critical,"Hardwired priority; accessible control/removal path; periodic and pre-use test","FI-011; SAFE-003",UNKNOWN,Safety lead,OPEN
R-020,H-003,Native-looking local UI misrepresents vehicle state,"UI copies native indicators or displays stale normalized values without quality",User mistakes unofficial data for native safety information,S4,L3,D4,Critical,"Distinct visual identity; no imitation of safety alerts; explicit quality/age; native access always available","SIG-001; UI-001",UNKNOWN,UX lead,OPEN
R-021,H-017,New native warning hidden during valid Park state,"Charging thermal security electrical or other warning begins while local view is legitimately selected",Important warning or required action is delayed,S4,L3,D4,Critical,"Immediate hardwired native control; bounded local session; periodic native view; measured audible/phone alert behavior; pilot blocked without justified warning coverage","FI-035; SAFE-008",UNKNOWN,Safety lead,OPEN
